,company_code,company_name,review
0,1,Intel,"""Good""
 ['Good ,work life, very good, perks,goodies']"
1,1,Intel,"""Physical design engineer""
 ['Work life balance good pay']"
2,1,Intel,"""Great place ro work""
 ['Great place to work,Collaborative employees,Flexible qorking hours,Work from home facility,Great infrastructure,Employee benfits(transportation, Internet bill, Insurance, health checkup,)Work life balance,Get to learn new frameworks,No politics,Managers are trained to manage people,No micromanagement,Stocks']"
3,1,Intel,"""Friendly working culture""
 ['1.Helps person to grow individually.']"
4,1,Intel,"""Working style""
 ['Flexibility, opportunity to learn, well established labs']"
5,1,Intel,"""Good to work in""
 ['Flexible timings and several on site entertainment options']"
6,1,Intel,"""Overall a great place to work!""
 ['Great culture. Great platform to learn. You get to work on cutting edge technology no matter which project you belong to.']"
7,1,Intel,"""Only Great work life balance doesnt work""
 ['- Great work life balance']"
8,1,Intel,"""Great place to work""
 ['Great learning exp and work life balance can be maintained']"
9,1,Intel,"""Knowledgeable peers, competitive but sometime redundant work""
 ['Knowledgeable colleagues, energetic atmosphere to work, far better work life balance and flexibility than other peer companies.']"
10,1,Intel,"""great company""
 ['Great company to work at - large scope']"
11,1,Intel,"""Director of Engineer""
 ['Great company, work life balance']"
12,1,Intel,"""Good place to work""
 ['Work-life balance, good pay and stock options']"
13,1,Intel,"""SOC Design Engineer""
 ['good place to grow and learn']"
14,1,Intel,"""Great place to work""
 ['Good salary, benefits supportive hierarchy.']"
15,1,Intel,"""Cometh the hour, goeth the (wo)man""
 ['Intel made a pledge to hire under represented minorities and women. And they beat that pledge by over a year.']"
16,1,Intel,"""Good place to learn & Settle as engineer""
 ['Organized work cultureSmart team with next generation toolEmployee friendly firmNext generation projects with best labs.']"
17,1,Intel,"""Great Place to work""
 ['Lot of independence at a senior levelIf you are self driven, sky is the limit']"
18,1,Intel,"""Experience in Intel""
 ['Its a employee friendly company and encourage learning from mistakes. It has lot of process and a diversity firm']"
19,1,Intel,"""work life""
 ['work life balance, good growth']"
20,1,Intel,"""Verification Engineer""
 ['Great place to work for. Lot of learning scope']"
21,1,Intel,"""Great place to work""
 ['Have been with Intel ~8 years.Leading edge technology and lot of learn. Flexible management to allow easy move in different domains.Shuttle services (bmtc buss passes given free),internet access at home,good travel and reimbursement policiesGood campus,good quarterly celebrations and year end celebrationsGood cafe (though paid food),']"
22,1,Intel,"""Software Engineer""
 ['Very good good global talent exposure']"
23,1,Intel,"""Good Company to work for""
 ['Work life balance, Good employee benefits.']"
24,1,Intel,"""Great place to work""
 ['Fair wages, and profit sharing in terms of company stocksWork culture which encourages knowledge sharingFocus on innovation']"
25,1,Intel,"""Great Place to Work""
 ['Great work culture and effective work allocation as per bandwidth']"
26,1,Intel,"""Good""
 ['Good an challenging, friendly, growth.']"
27,1,Intel,"""Excellent treatment to the freshers""
 [""I just joined as a fresher. It's been one month since I joined. I have been attending training sessions currently and I'm pretty much fascinated by the treatment they give to the freshers.""]"
28,1,Intel,"""Truly GPTW""
 ['Work life balance, technology, fast pace']"
29,1,Intel,"""Great place""
 ['WLE best here at intel']"
30,1,Intel,"""No meaningful work""
 ['Not much work pressure.WFH is available']"
31,1,Intel,"""Awesome place to work""
 ['Great opportunity for hands on experience for interns.Freedom to suggest possible solutions for product.']"
32,1,Intel,"""Software Engineer""
 ['Good work life balance. Competitive Salary']"
33,1,Intel,"""Firmware Engineer""
 ['Flexible timingsGood Work Life balanceFree transport, internet expensesLatest technologyGood profit sharing and RSUsdaily fruits and healthy juice options']"
34,1,Intel,"""Best place to work and learn""
 ['Intel is best place to work and learn new things and technology']"
35,1,Intel,"""Terrible company to work for ..""
 ['Good (not great) learning experience.']"
36,1,Intel,"""sr.software engg""
 ['There are lost of pros- lots of opportunities for software developers growth. Best company to have work-life balance. great culture.. great company values.']"
37,1,Intel,"""Internship""
 ['Educative environment with very helpful people']"
38,1,Intel,"""Waste of time, not for qualified engineers""
 ['Salary, incentives and bonuses are among the best in the industry']"
39,1,Intel,"""Intel...! its time you show some humanity""
 ['not even a % compared to cons']"
40,1,Intel,"""Good work practices , high work loads and huge growth""
 ['Good work culture and fair practices , good work in several teams in India , huge growth in numbers in India in the past few years']"
